2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-22.21278725922066, 	26.1534, 	1, 	1.52
